Venue,Suburb,Postcode,State,Instagram,Posts,Followers,Following
3 Weeds Rozelle,Rozelle,2039,NSW,none,,,
Bald Rock Hotel,Rozelle,2039,NSW,baldrockhotel,,,
Bar-Ber,Balmain,2041,NSW,none,,,
Boydell & Smith Fine Wines,Balmain,2041,NSW,none,,,
Cantina Bar Balmain,Balmain,2041,NSW,cantinabalmain,,,
Cat & Fiddle Hotel,Balmain,2041,NSW,catandfiddlehotel,,,
Corner Bar Rozelle,Rozelle,2039,NSW,cornerbarrozelle,,,
Cricketers Arms Hotel,Balmain,2041,NSW,cricketersarmsbalmain,,,
Dicks Hotel,Balmain,2041,NSW,dickshotelbalmain,,,
Dry Dock Hotel,Balmain,2041,NSW,drydockhotel,,,
East Village Hotel,Balmain East,2041,NSW,evhbalmain,,,
Garry Owen Hotel,Rozelle,2039,NSW,garryowenhotel,,,
Local Bar,Rozelle,2039,NSW,localbarrozelle,,,
Orange Grove Hotel,Lilyfield,2040,NSW,orangegrovehotel,,,
Penny Lane Bar,Rozelle,2039,NSW,pennylanerozelle,,,
Sackville Hotel,Rozelle,2039,NSW,sackvillehotel,,,
The Balmain Hotel,Balmain,2041,NSW,thebalmain,,,
The Bridge Hotel,Rozelle,2039,NSW,bridgehotelrozelle,,,
The Cottage Bar & Kitchen,Balmain,2041,NSW,thecottagebalmain,,,
The Lodge Bar,Balmain,2041,NSW,lodgebarbalmain,,,
The London Hotel,Balmain,2041,NSW,none,,,
The Merton Hotel,Rozelle,2039,NSW,themertonbistro,,,
The Native Rose Hotel,Rozelle,2039,NSW,nativerosehotel,,,
"The Red Lion Hotel, Rozelle",Rozelle,2039,NSW,redlionrozelle,,,
The Riverview Hotel,Balmain,2041,NSW,theriverviewhotel,,,
The Royal Oak,Balmain,2041,NSW,theroyaloak,,,
The Welcome Hotel,Rozelle,2039,NSW,thewelcomehotel,,,
Unity Hall Hotel,Balmain,2041,NSW,unityhallhotel,,,
Wilhelmina's,Balmain,2041,NSW,wilhelminas_balmain,,,
Newtown Hotel,Newtown,2042,NSW,newtown_hotel,,,
Courthouse Hotel,Newtown,2042,NSW,courthousehotel,,,
Coopers Hotel,Newtown,2042,NSW,coopersonking,,,
Town Hall Hotel,Newtown,2042,NSW,thetowniegigs,,,
The Bank,Newtown,2042,NSW,bankhotel,,,
Union Hotel,Newtown,2042,NSW,unionhotelnewtown,,,
The Marlborough Hotel,Newtown,2042,NSW,themarlynewtown,,,
Enmore Hotel,Enmore,2042,NSW,enmore_hotel,,,
Botany View Hotel,Newtown,2042,NSW,bvhnewtown,,,
Carlisle Castle Hotel,Newtown,2042,NSW,carlisle_castle_newtown,,,
Kelly's on King,Newtown,2042,NSW,kellys_on_king,,,
Websters Bar,Newtown,2042,NSW,webstersbarnewtown,,,
The Duke of Enmore,Enmore,2042,NSW,thedukeofenmore,,,
Queens Hotel,Enmore,2042,NSW,queenshotelenmore,,,
Golden Barley Hotel,Enmore,2042,NSW,goldenbarleyhotel,,,
The Warren View Hotel,Enmore,2042,NSW,warrenviewhotel,,,
The Midnight Special,Newtown,2042,NSW,themidnightspecial,,,
Corridor Newtown - Temp Closed,Newtown,2042,NSW,corridornewtown,,,
Earl's Juke Joint,Newtown,2042,NSW,earlsjukejoint,,,
Kuleto's Cocktail Bar,Newtown,2042,NSW,kuletos_cocktail_bar,,,
Blue Fig Bar,Newtown,2042,NSW,bluefigbar,,,
Mary's Newtown,Newtown,2042,NSW,marysgetfat,,,
Sydney Park Hotel,Newtown,2042,NSW,sydneyparkhotel,,,
True Romance Newtown,Newtown,2042,NSW,trueromancenewtown,,,
Fortunate Son,Newtown,2042,NSW,fortunateson_bar,,,
She Loves You,Newtown,2042,NSW,shelovesyoubar,,,
Jacoby’s Tiki Bar,Enmore,2042,NSW,jacobystikibar,,,
Stella's,Newtown,2042,NSW,stellassydney,,,
Secret Garden Bar,Enmore,2042,NSW,secretgardenenmore,,,
